location,forecast_date,quantile,prediction,horizon,model,target_end_date,target_type,expert
GB,2021-05-24,0.9,25141,3,EpiNow2,2021-06-12,Cases,
GB,2021-05-24,0.9,25141,3,EpiNow2,2021-06-12,Cases,
GB,2021-05-24,0.95,30262,3,EpiNow2,2021-06-12,Cases,
GB,2021-05-24,0.95,30262,3,EpiNow2,2021-06-12,Cases,
GB,2021-05-24,0.975,34087,3,EpiNow2,2021-06-12,Cases,
GB,2021-05-24,0.975,34087,3,EpiNow2,2021-06-12,Cases,
GB,2021-05-24,0.99,37697,3,EpiNow2,2021-06-12,Cases,
GB,2021-05-24,0.99,37697,3,EpiNow2,2021-06-12,Cases,
GB,2021-05-24,0.01,3868,4,EpiNow2,2021-06-19,Cases,
GB,2021-05-24,0.01,3868,4,EpiNow2,2021-06-19,Cases,
GB,2021-05-24,0.025,4318,4,EpiNow2,2021-06-19,Cases,
GB,2021-05-24,0.025,4318,4,EpiNow2,2021-06-19,Cases,
GB,2021-05-24,0.05,4852,4,EpiNow2,2021-06-19,Cases,
GB,2021-05-24,0.05,4852,4,EpiNow2,2021-06-19,Cases,
GB,2021-05-24,0.1,5603,4,EpiNow2,2021-06-19,Cases,
GB,2021-05-24,0.1,5603,4,EpiNow2,2021-06-19,Cases,
GB,2021-05-24,0.15,6353,4,EpiNow2,2021-06-19,Cases,
GB,2021-05-24,0.15,6353,4,EpiNow2,2021-06-19,Cases,
GB,2021-05-24,0.2,7060,4,EpiNow2,2021-06-19,Cases,
GB,2021-05-24,0.2,7060,4,EpiNow2,2021-06-19,Cases,
GB,2021-05-24,0.25,7678,4,EpiNow2,2021-06-19,Cases,
GB,2021-05-24,0.25,7678,4,EpiNow2,2021-06-19,Cases,
GB,2021-05-24,0.3,8306,4,EpiNow2,2021-06-19,Cases,
GB,2021-05-24,0.3,8306,4,EpiNow2,2021-06-19,Cases,
GB,2021-05-24,0.35,8980,4,EpiNow2,2021-06-19,Cases,
GB,2021-05-24,0.35,8980,4,EpiNow2,2021-06-19,Cases,
GB,2021-05-24,0.4,9766,4,EpiNow2,2021-06-19,Cases,
GB,2021-05-24,0.4,9766,4,EpiNow2,2021-06-19,Cases,
GB,2021-05-24,0.45,10465,4,EpiNow2,2021-06-19,Cases,
GB,2021-05-24,0.45,10465,4,EpiNow2,2021-06-19,Cases,
GB,2021-05-24,0.5,11342,4,EpiNow2,2021-06-19,Cases,
GB,2021-05-24,0.5,11342,4,EpiNow2,2021-06-19,Cases,
GB,2021-05-24,0.55,12199,4,EpiNow2,2021-06-19,Cases,
GB,2021-05-24,0.55,12199,4,EpiNow2,2021-06-19,Cases,
GB,2021-05-24,0.6,13287,4,EpiNow2,2021-06-19,Cases,
GB,2021-05-24,0.6,13287,4,EpiNow2,2021-06-19,Cases,
GB,2021-05-24,0.65,14723,4,EpiNow2,2021-06-19,Cases,
GB,2021-05-24,0.65,14723,4,EpiNow2,2021-06-19,Cases,
GB,2021-05-24,0.7,16271,4,EpiNow2,2021-06-19,Cases,
GB,2021-05-24,0.7,16271,4,EpiNow2,2021-06-19,Cases,
GB,2021-05-24,0.75,18061,4,EpiNow2,2021-06-19,Cases,
GB,2021-05-24,0.75,18061,4,EpiNow2,2021-06-19,Cases,
GB,2021-05-24,0.8,20312,4,EpiNow2,2021-06-19,Cases,
GB,2021-05-24,0.8,20312,4,EpiNow2,2021-06-19,Cases,
GB,2021-05-24,0.85,23842,4,EpiNow2,2021-06-19,Cases,
GB,2021-05-24,0.85,23842,4,EpiNow2,2021-06-19,Cases,
GB,2021-05-24,0.9,28652,4,EpiNow2,2021-06-19,Cases,
GB,2021-05-24,0.9,28652,4,EpiNow2,2021-06-19,Cases,
GB,2021-05-24,0.95,36360,4,EpiNow2,2021-06-19,Cases,
GB,2021-05-24,0.95,36360,4,EpiNow2,2021-06-19,Cases,
GB,2021-05-24,0.975,43664,4,EpiNow2,2021-06-19,Cases,
GB,2021-05-24,0.975,43664,4,EpiNow2,2021-06-19,Cases,
GB,2021-05-24,0.99,48258,4,EpiNow2,2021-06-19,Cases,
GB,2021-05-24,0.99,48258,4,EpiNow2,2021-06-19,Cases,
GB,2021-05-24,0.01,23,1,EpiNow2,2021-05-29,Deaths,
GB,2021-05-24,0.01,23,1,EpiNow2,2021-05-29,Deaths,
GB,2021-05-24,0.025,28,1,EpiNow2,2021-05-29,Deaths,
GB,2021-05-24,0.025,28,1,EpiNow2,2021-05-29,Deaths,
GB,2021-05-24,0.05,31,1,EpiNow2,2021-05-29,Deaths,
GB,2021-05-24,0.05,31,1,EpiNow2,2021-05-29,Deaths,
GB,2021-05-24,0.1,37,1,EpiNow2,2021-05-29,Deaths,
GB,2021-05-24,0.1,37,1,EpiNow2,2021-05-29,Deaths,
GB,2021-05-24,0.15,41,1,EpiNow2,2021-05-29,Deaths,
GB,2021-05-24,0.15,41,1,EpiNow2,2021-05-29,Deaths,
GB,2021-05-24,0.2,44,1,EpiNow2,2021-05-29,Deaths,
GB,2021-05-24,0.2,44,1,EpiNow2,2021-05-29,Deaths,
GB,2021-05-24,0.25,47,1,EpiNow2,2021-05-29,Deaths,
GB,2021-05-24,0.25,47,1,EpiNow2,2021-05-29,Deaths,
GB,2021-05-24,0.3,50,1,EpiNow2,2021-05-29,Deaths,
GB,2021-05-24,0.3,50,1,EpiNow2,2021-05-29,Deaths,
GB,2021-05-24,0.35,52,1,EpiNow2,2021-05-29,Deaths,
GB,2021-05-24,0.35,52,1,EpiNow2,2021-05-29,Deaths,
GB,2021-05-24,0.4,54,1,EpiNow2,2021-05-29,Deaths,
GB,2021-05-24,0.4,54,1,EpiNow2,2021-05-29,Deaths,
GB,2021-05-24,0.45,57,1,EpiNow2,2021-05-29,Deaths,
